Project Name,Address,Zip Code,Total Units ,Total Affordable Units,Unit Type,Housing Type,Status,1 Person Household ,2 Person Household,3 Person Household ,4 Person Household,5 Person Household ,Property Management Company,Phone ,Website ,Longitude,Latitude.,Location
Lyons Gardens,2720 Lyons Road,78702,54,53,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Alpha Barnes Real Estate Services,512-236-1781,http://www.lyonsgardens.com/,-97.7091893422922,30.2645793410541,"(30.2645793410541, -97.7091893422922)"
Rio West Student Living,2704 Rio Grande Street,78705,76,8,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,Coastal Ridge Real Estate,512-236-1903,https://rioweststudentliving.com/,-97.7445438848349,30.2929610272008,"(30.2929610272008, -97.7445438848349)"
Live Oak Trails,8500 US Highway 71 W,78735,58,58,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Foundation Communities,512-610-2240,http://foundcom.org/housing/our-austin-communities/live-oak-trails-apartments/,-97.8900821644269,30.2485593811554,"(30.2485593811554, -97.8900821644269)"
The Residences at The Domain,11400 Domain Drive,78758,390,39,Multifamily,Residential Housing,Project Completed,39150,44700,50300,55900,60350,UDR,512-237-7838,https://www.udr.com/austin-apartments/north-burnet/residences-at-the-domain/,-97.72493,30.400623,"(30.400623, -97.72493)"
Guadalupe Saldana - Duplex,1220 Paul Theresa Saldana Street,78702,2,2,Duplex,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org/,-97.702958,30.269889,"(30.269889, -97.702958)"
M Station,2906 E Martin Luther King Jr Boulevard,78722,150,140,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Foundation Communities,512-474-6767,http://foundcom.org/housing/our-austin-communities/m-station-apartments/,-97.7084137218687,30.2820072186666,"(30.2820072186666, -97.7084137218687)"
SOL,1133 Altum Street,78702,2,2,Duplex,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org/,-97.7173198185887,30.2703971161874,"(30.2703971161874, -97.7173198185887)"
Villas on 26th,800 W 26th Street,78705,182,18,Multifamily,Student Housing,Project Completed,36120,41280,46440,51600,55740,Lauren Levy,512-474-2600,https://www.villason26.com/,-97.7455650474619,30.2909573960403,"(30.2909573960403, -97.7455650474619)"
Summit Oaks,11607 Sierra Nevada,78759,24,24,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Housing Authority of the City of Austin,512-477-4488,http://www.hatctx.com/summit-oaks/,-97.75509,30.421089,"(30.421089, -97.75509)"
Gaston Tract,2511 W Braker Lane,78758,423,14,Multifamily,Residential Housing,Building Permit Issued,36120,41280,46440,51600,55740,,,,-97.718506,30.389516,"(30.389516, -97.718506)"
Accessible Housing Austin! - SF,7009 Thannas Way,78744,1,1,Single Family,Accessible Housing,Project Completed,30100,24400,38700,43000,46450,Accessible Housing Austin!,512-640-7781,http://www.ahaustin.org,-97.756125,30.177723,"(30.177723, -97.756125)"
Heritage Heights,1619 E 10th Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,PRAK Property Management,512-808-7999,http://www.prakpropertymanagement.com/home.html,-97.72366,30.265931,"(30.265931, -97.72366)"
The Willows,1330 Lamar Square Drive,78704,64,64,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Mary Lee Foundation,512-443-5777,http://www.maryleefoundation.org/programs-and-services/affordable-housing/,-97.765039314016,30.2544562030313,"(30.2544562030313, -97.765039314016)"
Villages at Ben White,7000 E Ben White Boulevard,78741,183,183,Multifamily,Senior Housing,Project Completed,36120,41280,46440,51600,55740,Capstone Management,512-222-5659,http://villagesatbenwhite.com/,-97.701173845317,30.2158612511363,"(30.2158612511363, -97.701173845317)"
48 East Ave,48 East Avenue,78701,240,7,Multifamily,Residential Housing,Building Permit Issued,48200,55050,61950,68800,74350,,,,-97.738824,30.256483,"(30.256483, -97.738824)"
Six Ten,620 W 24th Street,78705,67,7,Multifamily,Student Housing,Building Permit Issued,36120,41280,46440,51600,55740,,,,-97.743941,30.288072,"(30.288072, -97.743941)"
ADU,5413 Duval Street,78751,1,1,ADU,Residential Housing,Project Completed,48200,55050,61950,68800,74350,,,,-97.7169652260291,30.3182929170268,"(30.3182929170268, -97.7169652260291)"
303 San Saba Street,303 San Saba Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org,-97.7144087756145,30.2558854868315,"(30.2558854868315, -97.7144087756145)"
2111 Salina Street,2111 Salina Street,78722,1,1,Single Family,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Blackland Community Development Corporation,512-220-8751,https://www.blacklandcdc.org/housing/,-97.7225917302666,30.2823954412867,"(30.2823954412867, -97.7225917302666)"
Block at Pearl - North,901 W 22nd Street,78705,47,5,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,American Campus Communities,512-478-9811,http://www.theblockwestcampus.com/,-97.7466341483156,30.2860635924108,"(30.2860635924108, -97.7466341483156)"
Block on 25th East,702 W 25th Street,78705,87,9,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,American Campus Communities,512-478-9811,http://www.theblockwestcampus.com/,-97.7451590885061,30.2895795271056,"(30.2895795271056, -97.7451590885061)"
The Corner,2504 San Gabriel Street,78705,210,42,Multifamily,Student Housing,Project Completed,36120,41280,46440,51600,55740,Cardinal Group,512-605-0022,https://utcorner.com/,-97.7478311696586,30.2894751790789,"(30.2894751790789, -97.7478311696586)"
Lamar Union Apartments,1100 S Lamar Boulevard,78704,441,44,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Greystar,512-524-5500,https://www.lamarunion.com/plaza.html,-97.7618567455551,30.2559820527283,"(30.2559820527283, -97.7618567455551)"
Pecan Springs Commons,5801 Sweeney Circle,78723,4,4,FourPlex,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Green Doors,512-469-9130,http://www.greendoors.org/,-97.6795579168422,30.3047649759407,"(30.3047649759407, -97.6795579168422)"
2407 S 4th Street,2407 S 4th Street,78704,3,3,Single Family,Transitional Housing,Project Completed,18100,20650,23250,25800,27900,Green Doors,512-469-9130,http://www.greendoors.org/,-97.7632413782669,30.24261574799,"(30.24261574799, -97.7632413782669)"
Timbers Apartments,1034 Clayton Lane,78723,104,104,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,,512-459-1038,,-97.703606,30.319351,"(30.319351, -97.703606)"
Heritage Heights,1605 E 9th Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,PRAK Property Management,512-808-7999,http://www.prakpropertymanagement.com/home.html,-97.724973,30.26536,"(30.26536, -97.724973)"
Pecan Springs Commons,5805 Sweeney Circle,78723,4,4,FourPlex,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Green Doors,512-469-9130,http://www.greendoors.org/,-97.6790060774304,30.3048910689532,"(30.3048910689532, -97.6790060774304)"
7605 Elderberry Drive,7605 Elderberry Drive,78745,4,4,Single Family,Transitional Housing,Project Completed,18100,20650,23250,25800,27900,Green Doors,512-469-9130,http://www.greendoors.org/,-97.7894439858316,30.1856931860589,"(30.1856931860589, -97.7894439858316)"
The Creekview Apartment Homes,5001 Crainway Drive,78724,264,264,Multifamily,Residential Housing,Building Permit Issued,36120,41280,46440,51600,55740,,,,-97.658889,30.319166,"(30.319166, -97.658889)"
