Zip Code,Total population,Age - Under 18 years,Age - 18 years and over,Race - Hispanic or Latino,Race - White,Race - Black or African American,Race - American Indian and Alaska Native,Race - Asian,Race - Native Hawaiian and Other Pacific Islander,Race - Two or more,"Household income - Less than $25,000","Household income - $25,000 to $49,999","Household income - $50,000 to $74,999","Household income - $75,000 to $99,999","Household income - $100,000 to $149,999","Household income - $150,000 to $199,999","Household income - $200,000 or more",Employment - Full-time workers,Poverty - Persons below poverty,Social - Households with no computer,Social - Households with a computer,Housing - Total housing units,Housing - Total rental units,Occupants per room - 1.00 or less,Occupants per room - 1.01 to 1.50,Occupants per room - 1.51 or more
78610,32692,8720,23972,12918,17127,1284,5,535,78,1319,1061,1769,2478,2207,2218,927,583,13532,2412,630,10613,11585,2544,10897,228,118
78617,27900,8910,18990,20299,4015,2635,14,433,0,785,1285,1701,1204,862,866,377,225,9053,4815,814,5706,7244,1490,5762,548,210
78653,20822,6616,14206,9774,5154,4868,0,335,0,1108,815,1439,1482,1057,1016,374,149,7930,2839,437,5895,6891,1125,5917,351,64
78660,85450,23721,61729,27345,36231,12380,180,7743,72,3492,2721,4651,5775,4694,6269,2957,1402,35946,6165,894,27575,29569,7459,27885,499,85
78701,7875,101,7774,1243,5658,333,21,520,0,107,638,505,558,447,931,447,1329,4976,1038,165,4690,6576,3565,4778,11,66
78702,22876,4132,18744,10761,8332,2855,9,431,0,804,2530,1725,1428,874,1350,593,437,9062,5207,1576,7361,9839,5019,8324,333,280
78703,20788,4111,16677,1384,17396,120,20,1653,0,231,1191,1455,1281,997,1353,968,2478,9020,1355,229,9494,11047,5058,9645,39,39
78704,47158,6918,40240,12321,30901,1403,126,1429,0,1322,4246,4572,4385,2765,3567,1645,2033,23600,6944,1419,21794,25815,16603,22466,471,276
78705,33075,887,32188,5643,19122,2244,90,4884,9,1143,5106,1230,835,507,272,164,256,4601,12903,98,8272,10336,8014,8105,103,162
78721,12447,2510,9937,5921,2562,3632,14,185,0,323,1394,983,722,652,301,80,65,4105,3425,831,3366,4632,1850,4016,135,46
78722,7254,1054,6200,969,4903,845,0,188,29,362,468,619,584,374,654,191,221,3634,711,185,2926,3415,1888,3036,40,35
78723,33170,7815,25355,13683,12052,6059,43,705,0,879,3275,3022,1958,1451,1410,734,668,12992,7660,1773,10745,13777,7705,11400,604,514
78724,24833,9093,15740,16405,2612,5131,29,63,12,845,1447,2258,1192,651,634,118,60,7421,6332,655,5705,6754,2674,5401,736,223
78725,7517,1928,5589,3755,1628,1831,0,88,0,251,365,628,725,420,279,119,8,3292,1354,184,2360,2598,541,2398,132,14
