Name,Lat,Long,Category
Lions Municipal Golf Course,30.291603540671293,-97.77427690200251,GolfCourse
Joe Balander Short Course,30.188192600413572,-97.7325329726362,GolfCourse
Morris Williams Golf Course,30.29007679311297,-97.69416789486628,GolfCourse
Roy Kizer Golf Course,30.188192600413572,-97.7325329726362,GolfCourse
Hancock Golf Course,30.299834437130873,-97.72264043031392,GolfCourse
Jimmy Clay Golf Course,30.188192600413572,-97.7325329726362,GolfCourse
ARCH,30.267652,-97.737726,ComputerLab
Howson Library,30.298139,-97.767313,ComputerLab
Old Quarry Library,30.353257,-97.755751,ComputerLab
Spicewood Springs Library,30.433288,-97.772786,ComputerLab
Windsor Park Library,30.311258,-97.690559,ComputerLab
Carver Library,30.26995,-97.724523,ComputerLab
Little Walnut Creek Library,30.363634,-97.698231,ComputerLab
North Village Library,30.362014,-97.729717,ComputerLab
Southeast Library,30.187926,-97.742224,ComputerLab
Central Library,30.265509,-97.751941,ComputerLab
Twin Oaks Library,30.248884,-97.761726,ComputerLab
Ruiz Library,30.230228,-97.706314,ComputerLab
Manchaca Road Library,30.216327,-97.796899,ComputerLab
Cepeda Library,30.259785,-97.709632,ComputerLab
University Hills Library,30.308952,-97.666211,ComputerLab
Terrazas Library,30.260114,-97.733214,ComputerLab
Pleasant Hill Library,30.192555,-97.777026,ComputerLab
Milwood Library,30.423153,-97.714651,ComputerLab
Willie Mae Kirk Library,30.273232,-97.69999,ComputerLab
Dewitty Center,30.27021,-97.7159,ComputerLab
St. John Library,30.331949,-97.693032,ComputerLab
CATHERINE / CATHERINE 1,30.259096,-97.747775,ElecCarCharging
AUSTIN HQ / STATION 1,30.192647,-97.714329,ElecCarCharging
SCHOOL / AKINS1,30.147634,-97.801294,ElecCarCharging
MONOGRAM / HANDICAP,30.270571,-97.748993,ElecCarCharging
FLATIRON DOMAIN / FLATIRON DOM 2,30.392852,-97.723729,ElecCarCharging
FOUNDATION COMM / STATION 01,30.39921,-97.846895,ElecCarCharging
FROST / 1,30.268028,-97.742388,ElecCarCharging
PIE AE / ZILKER PARK PH1,30.264456,-97.771382,ElecCarCharging
COA / LOT J NW,30.207439,-97.661026,ElecCarCharging
ENDEAVOR REG / LEVEL 2 - #2,30.317689,-97.755015,ElecCarCharging
AVIATION / 2ND FLOOR L,30.20473,-97.669397,ElecCarCharging
REPUBLICSQUARE / GABLES REPUB4,30.266802,-97.74575,ElecCarCharging
PIE AE / PUB CAMP MABRY1,30.316576,-97.757643,ElecCarCharging
PIE AE / RUTHERFORDCAMP2,30.337168,-97.680607,ElecCarCharging
PIE AE / RIO2 REMOVED SC,30.277239,-97.747215,ElecCarCharging
ENDEAVOR REG / BLUE GARAGE #4,30.403822,-97.722477,ElecCarCharging
NATIONAL INSTRU / 21&22;,30.408382,-97.726244,ElecCarCharging
PIE AE / PUB LOCKHART 1,30.168498,-97.795821,ElecCarCharging
STATION 1 / PLAZA 1,30.347873,-97.800826,ElecCarCharging
